Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1844-01-01,1844,1,1,,0,,-5,,-2.5,,20.5,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-02,1844,1,2,,0,,-6.1,,-3.1,,21.1,,0,,6.9,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-03,1844,1,3,,2.8,,-0.6,,1.1,,16.9,,0,,3.6,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-04,1844,1,4,,2.8,,-4.4,,-0.8,,18.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-05,1844,1,5,,-3.9,,-7.2,,-5.6,,23.6,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-06,1844,1,6,,-3.3,,-8.9,,-6.1,,24.1,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-07,1844,1,7,,0,,-3.3,,-1.7,,19.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-08,1844,1,8,,1.1,,-11.1,,-5,,23,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-09,1844,1,9,,-5.6,,-12.8,,-9.2,,27.2,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-10,1844,1,10,,-1.7,,-6.1,,-3.9,,21.9,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-11,1844,1,11,,-1.1,,-18.3,,-9.7,,27.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-12,1844,1,12,,0.6,,-13.3,,-6.4,,24.4,,0,,36.1,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-13,1844,1,13,,5,,0,,2.5,,15.5,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-14,1844,1,14,,0.6,,-7.2,,-3.3,,21.3,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-15,1844,1,15,,0,,-6.1,,-3.1,,21.1,,0,,11.2,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-16,1844,1,16,,2.2,,-0.6,,0.8,,17.2,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-17,1844,1,17,,5.6,,-1.1,,2.3,,15.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-18,1844,1,18,,-0.6,,-5,,-2.8,,20.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-19,1844,1,19,,-1.1,,-8.9,,-5,,23,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-20,1844,1,20,,-5.6,,-15,,-10.3,,28.3,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-21,1844,1,21,,-8.3,,-13.9,,-11.1,,29.1,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-22,1844,1,22,,-8.9,,-12.2,,-10.6,,28.6,,0,,18.8,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-23,1844,1,23,,3.3,,-10,,-3.4,,21.4,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-24,1844,1,24,,7.2,,-2.8,,2.2,,15.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-25,1844,1,25,,-1.7,,-20,,-10.9,,28.9,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-26,1844,1,26,,-14.4,,-20.6,,-17.5,,35.5,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-27,1844,1,27,,-13.3,,-21.7,,-17.5,,35.5,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-28,1844,1,28,,-12.8,,-20.6,,-16.7,,34.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-29,1844,1,29,,-8.9,,-20,,-14.5,,32.5,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-30,1844,1,30,,-11.1,,-18.9,,-15,,33,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-01-31,1844,1,31,,-7.8,,-19.4,,-13.6,,31.6,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-01,1844,2,1,,-10,,-17.2,,-13.6,,31.6,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-02,1844,2,2,,-3.9,,-13.3,,-8.6,,26.6,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-03,1844,2,3,,-1.1,,-12.2,,-6.7,,24.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-04,1844,2,4,,-2.2,,-12.2,,-7.2,,25.2,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-05,1844,2,5,,0.6,,-6.7,,-3.1,,21.1,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-06,1844,2,6,,7.8,,0.6,,4.2,,13.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-07,1844,2,7,,3.3,,-10.6,,-3.7,,21.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-08,1844,2,8,,-0.6,,-8.9,,-4.8,,22.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-09,1844,2,9,,-0.6,,-12.8,,-6.7,,24.7,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-10,1844,2,10,,-7.2,,-15.6,,-11.4,,29.4,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-11,1844,2,11,,-1.1,,-11.7,,-6.4,,24.4,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-12,1844,2,12,,-1.1,,-10.6,,-5.9,,23.9,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-13,1844,2,13,,1.1,,-5,,-2,,20,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-14,1844,2,14,,4.4,,-6.1,,-0.9,,18.9,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-15,1844,2,15,,-0.6,,-9.4,,-5,,23,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-16,1844,2,16,,0.6,,-2.2,,-0.8,,18.8,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-17,1844,2,17,,2.2,,-6.7,,-2.3,,20.3,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-18,1844,2,18,,-3.9,,-16.7,,-10.3,,28.3,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-19,1844,2,19,,-1.1,,-8.9,,-5,,23,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-20,1844,2,20,,4.4,,-1.1,,1.7,,16.3,,0,,0,,,,,,,,,,,
-79.4,43.67,TORONTO,6158350,1844-02-21,1844,2,21,,6.7,,0,,3.4,,14.6,,0,,0,,,,,,,,,,,
