Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1867-01-01,1867,1,1,,-2.8,,-8.9,,-5.9,,23.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-02,1867,1,2,,-6.7,,-9.4,,-8.1,,26.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-03,1867,1,3,,-2.8,,-15,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-04,1867,1,4,,1.7,,-5.6,,-2,,20,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-05,1867,1,5,,1.7,,-1.7,,0,,18,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-06,1867,1,6,,0,,-2.8,,-1.4,,19.4,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-07,1867,1,7,,-5.6,,-10.6,,-8.1,,26.1,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-08,1867,1,8,,-5.6,,-8.9,,-7.3,,25.3,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-09,1867,1,9,,-2.8,,-10.6,,-6.7,,24.7,,0,,0,,3.8,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-10,1867,1,10,,-5,,-8.3,,-6.7,,24.7,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-11,1867,1,11,,-4.4,,-10,,-7.2,,25.2,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-12,1867,1,12,,-9.4,,-13.9,,-11.7,,29.7,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-13,1867,1,13,,-8.3,,-14.4,,-11.4,,29.4,,0,,0,,10.2,,10.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-14,1867,1,14,,-10,,-13.3,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-15,1867,1,15,,-12.2,,-18.9,,-15.6,,33.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-16,1867,1,16,,-4.4,,-20.6,,-12.5,,30.5,,0,,0,,15.2,,15.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-17,1867,1,17,,-8.3,,-10.6,,-9.5,,27.5,,0,,0,,5.1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-18,1867,1,18,,-13.3,,-19.4,,-16.4,,34.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-19,1867,1,19,,-10,,-20,,-15,,33,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-20,1867,1,20,,-5,,-19.4,,-12.2,,30.2,,0,,0,,38.1,,38.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-21,1867,1,21,,-6.7,,-10.6,,-8.7,,26.7,,0,,0,,7.6,,7.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-22,1867,1,22,,-5,,-10,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-23,1867,1,23,,-2.2,,-7.2,,-4.7,,22.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-24,1867,1,24,,-1.7,,-5.6,,-3.7,,21.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-25,1867,1,25,,0.6,,-8.9,,-4.2,,22.2,,0,,0,,15.2,,15.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-26,1867,1,26,,-1.1,,-3.9,,-2.5,,20.5,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-27,1867,1,27,,-5.6,,-9.4,,-7.5,,25.5,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-28,1867,1,28,,-5.6,,-10,,-7.8,,25.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-29,1867,1,29,,-11.1,,-14.4,,-12.8,,30.8,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-30,1867,1,30,,-6.7,,-16.1,,-11.4,,29.4,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-01-31,1867,1,31,,6.7,,-11.1,,-2.2,,20.2,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1867-02-01,1867,2,1,,5.6,,-1.7,,2,,16,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-02-02,1867,2,2,,1.7,,-5,,-1.7,,19.7,,0,,2,,5.1,,7.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1867-02-03,1867,2,3,,1.1,,-3.9,,-1.4,,19.4,,0,,0,,6.4,,6.4,,,,,,,
