Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1945-01-01,1945,1,1,,1.1,,-1.7,,-0.3,,18.3,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-02,1945,1,2,,-8.3,,-12.8,,-10.6,,28.6,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-03,1945,1,3,,-2.2,,-15.6,,-8.9,,26.9,,0,,0,,2.3,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-04,1945,1,4,,-5.6,,-10,,-7.8,,25.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-05,1945,1,5,,-8.3,,-14.4,,-11.4,,29.4,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-06,1945,1,6,,-15,,-23.3,,-19.2,,37.2,,0,,0,,7.6,,7.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-07,1945,1,7,,-6.7,,-17.2,,-12,,30,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-08,1945,1,8,,-2.2,,-11.1,,-6.7,,24.7,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-09,1945,1,9,,-15,,-19.4,,-17.2,,35.2,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-10,1945,1,10,,-9.4,,-18.9,,-14.2,,32.2,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-11,1945,1,11,,0.6,,-12.8,,-6.1,,24.1,,0,,0,,5.1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-12,1945,1,12,,3.3,,-6.1,,-1.4,,19.4,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-13,1945,1,13,,-10.6,,-16.1,,-13.4,,31.4,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-14,1945,1,14,,-10,,-16.1,,-13.1,,31.1,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-15,1945,1,15,,-6.7,,-11.1,,-8.9,,26.9,,0,,0,,3.8,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-16,1945,1,16,,-6.1,,-8.3,,-7.2,,25.2,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-17,1945,1,17,,-8.3,,-13.3,,-10.8,,28.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-18,1945,1,18,,-6.1,,-16.7,,-11.4,,29.4,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-19,1945,1,19,,-4.4,,-11.1,,-7.8,,25.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-20,1945,1,20,,-3.3,,-9.4,,-6.4,,24.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-21,1945,1,21,,-0.6,,-7.2,,-3.9,,21.9,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-22,1945,1,22,,0.6,,-3.3,,-1.4,,19.4,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-23,1945,1,23,,-3.9,,-6.7,,-5.3,,23.3,,0,,0,,6.4,,6.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-24,1945,1,24,,-11.1,,-18.3,,-14.7,,32.7,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-25,1945,1,25,,-15.6,,-25,,-20.3,,38.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-26,1945,1,26,,-10.6,,-21.1,,-15.9,,33.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-27,1945,1,27,,-2.8,,-15,,-8.9,,26.9,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-28,1945,1,28,,-3.3,,-8.9,,-6.1,,24.1,,0,,0,,6.6,,6.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-29,1945,1,29,,-1.7,,-9.4,,-5.6,,23.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-30,1945,1,30,,-5,,-8.9,,-7,,25,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-01-31,1945,1,31,,-6.1,,-11.1,,-8.6,,26.6,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-01,1945,2,1,,-3.3,,-13.3,,-8.3,,26.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-02,1945,2,2,,-6.7,,-10.6,,-8.7,,26.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-03,1945,2,3,,-5.6,,-14.4,,-10,,28,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-04,1945,2,4,,-2.8,,-11.7,,-7.3,,25.3,,0,,0,,12.2,,12.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-05,1945,2,5,,-1.7,,-9.4,,-5.6,,23.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-06,1945,2,6,,-0.6,,-3.3,,-2,,20,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-07,1945,2,7,,-1.1,,-5,,-3.1,,21.1,,0,,0,T,2,,2,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-08,1945,2,8,,0,,-7.2,,-3.6,,21.6,,0,,0,T,2.8,,2.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-09,1945,2,9,,1.7,,-4.4,,-1.4,,19.4,,0,,0,T,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-10,1945,2,10,,3.3,,0.6,,2,,16,,0,,0.5,,2,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-11,1945,2,11,,-1.7,,-4.4,,-3.1,,21.1,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-12,1945,2,12,,-1.1,,-7.8,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-13,1945,2,13,,-4.4,,-8.3,,-6.4,,24.4,,0,,0,,5.8,,5.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1945-02-14,1945,2,14,,0,,-8.3,,-4.2,,22.2,,0,,0,T,0.8,,0.8,,,,,,,
