Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1892-01-01,1892,1,1,,7.8,,0,,3.9,,14.1,,0,,1,,0,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-02,1892,1,2,,6.1,,-6.7,,-0.3,,18.3,,0,,4.1,,1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-03,1892,1,3,,-6.1,,-14.4,,-10.3,,28.3,,0,,0,,2,,2,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-04,1892,1,4,,-6.7,,-16.1,,-11.4,,29.4,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-05,1892,1,5,,-5,,-12.2,,-8.6,,26.6,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-06,1892,1,6,,-5,,-8.9,,-7,,25,,0,,0,,6.4,,6.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-07,1892,1,7,,-3.9,,-11.7,,-7.8,,25.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-08,1892,1,8,,-5.6,,-11.7,,-8.7,,26.7,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-09,1892,1,9,,-8.3,,-13.3,,-10.8,,28.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-10,1892,1,10,,-8.3,,-17.2,,-12.8,,30.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-11,1892,1,11,,1.7,,-10.6,,-4.5,,22.5,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-12,1892,1,12,,2.8,,-3.9,,-0.6,,18.6,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-13,1892,1,13,,-3.3,,-6.1,,-4.7,,22.7,,0,,0,,3,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-14,1892,1,14,,-3.9,,-10.6,,-7.3,,25.3,,0,,0,,8.4,,8.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-15,1892,1,15,,-5.6,,-13.3,,-9.5,,27.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-16,1892,1,16,,-4.4,,-15,,-9.7,,27.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-17,1892,1,17,,0.6,,-6.7,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-18,1892,1,18,,-0.6,,-11.7,,-6.2,,24.2,,0,,0,,8.9,,8.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-19,1892,1,19,,-11.7,,-21.7,,-16.7,,34.7,,0,,0,,2.3,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-20,1892,1,20,,-8.9,,-23.3,,-16.1,,34.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-21,1892,1,21,,-3.3,,-10,,-6.7,,24.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-22,1892,1,22,,0.6,,-10,,-4.7,,22.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-23,1892,1,23,,0.6,,-13.3,,-6.4,,24.4,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-24,1892,1,24,,2.8,,-9.4,,-3.3,,21.3,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-25,1892,1,25,,3.9,,-17.2,,-6.7,,24.7,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-26,1892,1,26,,-13.9,,-20.6,,-17.3,,35.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-27,1892,1,27,,-7.2,,-19.4,,-13.3,,31.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-28,1892,1,28,,0.6,,-9.4,,-4.4,,22.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-29,1892,1,29,,3.3,,-6.1,,-1.4,,19.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-30,1892,1,30,,2.2,,-4.4,,-1.1,,19.1,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-01-31,1892,1,31,,2.2,,-1.7,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-01,1892,2,1,,2.8,,0,,1.4,,16.6,,0,,2,,0.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-02,1892,2,2,,1.1,,-3.3,,-1.1,,19.1,,0,,3,,15.7,,18.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-03,1892,2,3,,1.1,,-5,,-2,,20,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-04,1892,2,4,,-2.2,,-13.3,,-7.8,,25.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-05,1892,2,5,,-6.7,,-15.6,,-11.2,,29.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-06,1892,2,6,,-1.7,,-13.3,,-7.5,,25.5,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-07,1892,2,7,,0.6,,-8.9,,-4.2,,22.2,,0,,9.7,,1.3,,10.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-08,1892,2,8,,3.3,,-1.7,,0.8,,17.2,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-09,1892,2,9,,0.6,,-7.8,,-3.6,,21.6,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-10,1892,2,10,,0,,-10.6,,-5.3,,23.3,,0,,0,,1.8,,1.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-11,1892,2,11,,2.8,,-7.2,,-2.2,,20.2,,0,,0,,6.1,,6.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-12,1892,2,12,,-6.7,,-15.6,,-11.2,,29.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-13,1892,2,13,,-10,,-21.1,,-15.6,,33.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-14,1892,2,14,,-1.1,,-11.7,,-6.4,,24.4,,0,,0,,10.2,,10.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-15,1892,2,15,,-5.6,,-13.9,,-9.8,,27.8,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-16,1892,2,16,,-7.8,,-15.6,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-17,1892,2,17,,-5,,-15.6,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-18,1892,2,18,,2.8,,-7.2,,-2.2,,20.2,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-19,1892,2,19,,-1.1,,-3.3,,-2.2,,20.2,,0,,0,T,3,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-20,1892,2,20,,1.1,,-2.8,,-0.9,,18.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-21,1892,2,21,,3.3,,0.6,,2,,16,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-22,1892,2,22,,3.9,,-1.1,,1.4,,16.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-23,1892,2,23,,1.7,,-2.2,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-24,1892,2,24,,3.9,,-1.7,,1.1,,16.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-25,1892,2,25,,3.3,,-2.8,,0.3,,17.7,,0,,0.5,,0,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-26,1892,2,26,,3.9,,-7.8,,-2,,20,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-27,1892,2,27,,-6.1,,-13.9,,-10,,28,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-28,1892,2,28,,0.6,,-10,,-4.7,,22.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-02-29,1892,2,29,,1.1,,-1.7,,-0.3,,18.3,,0,,0.5,,1.8,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-01,1892,3,1,,-1.1,,-10,,-5.6,,23.6,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-02,1892,3,2,,-5,,-12.2,,-8.6,,26.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-03,1892,3,3,,-1.7,,-10,,-5.9,,23.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-04,1892,3,4,,2.2,,-2.8,,-0.3,,18.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-05,1892,3,5,,1.7,,-2.8,,-0.6,,18.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-06,1892,3,6,,2.2,,-3.3,,-0.6,,18.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-07,1892,3,7,,5,,-3.3,,0.9,,17.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-08,1892,3,8,,2.2,,-1.7,,0.3,,17.7,,0,,5.6,,0,T,5.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-09,1892,3,9,,6.1,,0.6,,3.4,,14.6,,0,,1.5,,0,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-10,1892,3,10,,2.8,,-4.4,,-0.8,,18.8,,0,,0.3,,0.5,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-11,1892,3,11,,-3.3,,-9.4,,-6.4,,24.4,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-12,1892,3,12,,-0.6,,-8.9,,-4.8,,22.8,,0,,0,,2.3,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-13,1892,3,13,,-5.6,,-13.9,,-9.8,,27.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-14,1892,3,14,,-5,,-15,,-10,,28,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-15,1892,3,15,,-4.4,,-10.6,,-7.5,,25.5,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-16,1892,3,16,,-2.8,,-11.1,,-7,,25,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-17,1892,3,17,,-3.9,,-10.6,,-7.3,,25.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-18,1892,3,18,,-3.3,,-7.2,,-5.3,,23.3,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-19,1892,3,19,,0.6,,-6.7,,-3.1,,21.1,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-20,1892,3,20,,-3.3,,-9.4,,-6.4,,24.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-21,1892,3,21,,1.1,,-10.6,,-4.8,,22.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-22,1892,3,22,,2.8,,-6.1,,-1.7,,19.7,,0,,6.1,,0.5,,6.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1892-03-23,1892,3,23,,3.3,,-0.6,,1.4,,16.6,,0,,0,T,0.8,,0.8,,,,,,,
