Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1857-01-01,1857,1,1,,-2.2,,-6.1,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-02,1857,1,2,,2.2,,-5.6,,-1.7,,19.7,,0,,0,T,8.9,,8.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-03,1857,1,3,,0,,-6.1,,-3.1,,21.1,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-04,1857,1,4,,-3.9,,-9.4,,-6.7,,24.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-05,1857,1,5,,-8.3,,-21.7,,-15,,33,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-06,1857,1,6,,-13.3,,-22.8,,-18.1,,36.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-07,1857,1,7,,-8.9,,-24.4,,-16.7,,34.7,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-08,1857,1,8,,-10.6,,-24.4,,-17.5,,35.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-09,1857,1,9,,-5.6,,-11.1,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-10,1857,1,10,,-4.4,,-13.9,,-9.2,,27.2,,0,,0,,14,,14,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-11,1857,1,11,,-12.8,,-16.1,,-14.5,,32.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-12,1857,1,12,,-8.3,,-13.3,,-10.8,,28.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-13,1857,1,13,,-4.4,,-11.1,,-7.8,,25.8,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-14,1857,1,14,,-6.1,,-19.4,,-12.8,,30.8,,0,,0,,2.3,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-15,1857,1,15,,-12.8,,-20.6,,-16.7,,34.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-16,1857,1,16,,-6.1,,-15.6,,-10.9,,28.9,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-17,1857,1,17,,-7.8,,-27.2,,-17.5,,35.5,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-18,1857,1,18,,-17.8,,-27.8,,-22.8,,40.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-19,1857,1,19,,-6.7,,-19.4,,-13.1,,31.1,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-20,1857,1,20,,-5.6,,-11.1,,-8.4,,26.4,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-21,1857,1,21,,-5.6,,-25,,-15.3,,33.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-22,1857,1,22,,-23.9,,-28.9,,-26.4,,44.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-23,1857,1,23,,-14.4,,-27.2,,-20.8,,38.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-24,1857,1,24,,-12.2,,-20.6,,-16.4,,34.4,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-25,1857,1,25,,-11.1,,-20.6,,-15.9,,33.9,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-26,1857,1,26,,1.1,,-18.3,,-8.6,,26.6,,0,,0,T,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-27,1857,1,27,,2.8,,-14.4,,-5.8,,23.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-28,1857,1,28,,-3.3,,-16.1,,-9.7,,27.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-29,1857,1,29,,-2.2,,-12.8,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-30,1857,1,30,,-2.8,,-10,,-6.4,,24.4,,0,,0,,12.7,,12.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-01-31,1857,1,31,,0.6,,-13.9,,-6.7,,24.7,,0,,0,T,10.7,,10.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-02-01,1857,2,1,,-11.1,,-18.3,,-14.7,,32.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-02-02,1857,2,2,,-11.1,,-21.1,,-16.1,,34.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1857-02-03,1857,2,3,,0.6,,-17.2,,-8.3,,26.3,,0,,0,,0,T,0,T,,,,,,
