Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1877-01-01,1877,1,1,,-4.4,,-10.6,,-7.5,,25.5,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-02,1877,1,2,,-8.3,,-13.3,,-10.8,,28.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-03,1877,1,3,,-10.6,,-18.3,,-14.5,,32.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-04,1877,1,4,,-8.3,,-18.3,,-13.3,,31.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-05,1877,1,5,,-5.6,,-13.9,,-9.8,,27.8,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-06,1877,1,6,,0,,-8.3,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-07,1877,1,7,,1.1,,-4.4,,-1.7,,19.7,,0,,0,,1.8,,1.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-08,1877,1,8,,-3.9,,-18.9,,-11.4,,29.4,,0,,0,,1,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-09,1877,1,9,,-8.9,,-21.7,,-15.3,,33.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-10,1877,1,10,,-4.4,,-9.4,,-6.9,,24.9,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-11,1877,1,11,,-2.2,,-15.6,,-8.9,,26.9,,0,,0,,8.9,,8.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-12,1877,1,12,,-15.6,,-25.6,,-20.6,,38.6,,0,,0,,4.3,,4.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-13,1877,1,13,,-8.9,,-21.1,,-15,,33,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-14,1877,1,14,,-7.8,,-13.9,,-10.9,,28.9,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-15,1877,1,15,,-7.2,,-13.3,,-10.3,,28.3,,0,,0,,10.2,,10.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-16,1877,1,16,,-8.3,,-15,,-11.7,,29.7,,0,,0,,3.8,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-17,1877,1,17,,-5,,-18.9,,-12,,30,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-18,1877,1,18,,-3.3,,-14.4,,-8.9,,26.9,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-19,1877,1,19,,1.7,,-5,,-1.7,,19.7,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-20,1877,1,20,,5,,-11.1,,-3.1,,21.1,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-21,1877,1,21,,-8.3,,-15,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-22,1877,1,22,,-3.3,,-11.1,,-7.2,,25.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-23,1877,1,23,,-7.2,,-13.3,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-24,1877,1,24,,-8.3,,-13.3,,-10.8,,28.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-25,1877,1,25,,-7.8,,-15.6,,-11.7,,29.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-26,1877,1,26,,0,,-9.4,,-4.7,,22.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-27,1877,1,27,,1.1,,-8.9,,-3.9,,21.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-28,1877,1,28,,1.1,,-12.8,,-5.9,,23.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-29,1877,1,29,,3.9,,-9.4,,-2.8,,20.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-30,1877,1,30,,0.6,,-5.6,,-2.5,,20.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-01-31,1877,1,31,,1.1,,-2.8,,-0.9,,18.9,,0,,0.8,,0,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-01,1877,2,1,,5,,-1.1,,2,,16,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-02,1877,2,2,,5,,0,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-03,1877,2,3,,4.4,,0,,2.2,,15.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-04,1877,2,4,,1.1,,-7.2,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-05,1877,2,5,,-0.6,,-7.8,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-06,1877,2,6,,2.2,,-1.1,,0.6,,17.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-07,1877,2,7,,4.4,,-4.4,,0,,18,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-08,1877,2,8,,-0.6,,-10.6,,-5.6,,23.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-09,1877,2,9,,2.8,,-9.4,,-3.3,,21.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-10,1877,2,10,,4.4,,-3.9,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-11,1877,2,11,,5.6,,-6.1,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-12,1877,2,12,,5,,-11.1,,-3.1,,21.1,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1877-02-13,1877,2,13,,-5.6,,-15,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
