Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1926-01-01,1926,1,1,,1.7,,-5.6,,-2,,20,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-02,1926,1,2,,1.7,,-1.1,,0.3,,17.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-03,1926,1,3,,2.8,,-0.6,,1.1,,16.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-04,1926,1,4,,4.4,,0,,2.2,,15.8,,0,,0.5,,0,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-05,1926,1,5,,6.1,,2.8,,4.5,,13.5,,0,,0.3,,0,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-06,1926,1,6,,2.2,,-1.1,,0.6,,17.4,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-07,1926,1,7,,-6.1,,-10.6,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-08,1926,1,8,,-5,,-11.1,,-8.1,,26.1,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-09,1926,1,9,,-4.4,,-8.3,,-6.4,,24.4,,0,,0,,11.4,,11.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-10,1926,1,10,,0.6,,-9.4,,-4.4,,22.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-11,1926,1,11,,-1.1,,-2.8,,-2,,20,,0,,0,,9.7,,9.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1926-01-12,1926,1,12,,-8.9,,-13.9,,-11.4,,29.4,,0,,0,,0,T,0,T,,,,,,
