Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1875-01-01,1875,1,1,,-1.7,,-12.2,,-7,,25,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-02,1875,1,2,,0,,-6.7,,-3.4,,21.4,,0,,0,,12.7,,12.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-03,1875,1,3,,-3.9,,-8.9,,-6.4,,24.4,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-04,1875,1,4,,-5.6,,-8.9,,-7.3,,25.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-05,1875,1,5,,-7.8,,-14.4,,-11.1,,29.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-06,1875,1,6,,-10,,-17.2,,-13.6,,31.6,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-07,1875,1,7,,-5.6,,-11.1,,-8.4,,26.4,,0,,0,,5.3,,5.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-08,1875,1,8,,-4.4,,-15,,-9.7,,27.7,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-09,1875,1,9,,-3.9,,-21.1,,-12.5,,30.5,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-10,1875,1,10,,-13.3,,-22.8,,-18.1,,36.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-11,1875,1,11,,-9.4,,-17.2,,-13.3,,31.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-12,1875,1,12,,-2.8,,-16.1,,-9.5,,27.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-13,1875,1,13,,3.9,,-6.1,,-1.1,,19.1,,0,,0,,6.4,,6.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-14,1875,1,14,,-6.1,,-15.6,,-10.9,,28.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-15,1875,1,15,,-8.9,,-16.1,,-12.5,,30.5,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-16,1875,1,16,,-10.6,,-13.9,,-12.3,,30.3,,0,,0,,20.3,,20.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-17,1875,1,17,,-8.3,,-15.6,,-12,,30,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-18,1875,1,18,,-10,,-14.4,,-12.2,,30.2,,0,,0,,8.9,,8.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-19,1875,1,19,,-6.7,,-16.7,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-20,1875,1,20,,-8.3,,-16.1,,-12.2,,30.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-21,1875,1,21,,-2.2,,-9.4,,-5.8,,23.8,,0,,0,T,5.6,,5.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-22,1875,1,22,,1.1,,-8.3,,-3.6,,21.6,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-23,1875,1,23,,-4.4,,-10.6,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-24,1875,1,24,,0,,-7.2,,-3.6,,21.6,,0,,0,,8.9,,8.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-25,1875,1,25,,-0.6,,-10,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-26,1875,1,26,,-6.7,,-11.1,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-27,1875,1,27,,-1.7,,-13.3,,-7.5,,25.5,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-28,1875,1,28,,-1.1,,-13.9,,-7.5,,25.5,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-29,1875,1,29,,-7.8,,-18.9,,-13.4,,31.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1875-01-30,1875,1,30,,-2.8,,-12.2,,-7.5,,25.5,,0,,0,,0,T,0,T,,,,,,
