Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1853-01-01,1853,1,1,,-2.8,,-6.1,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-02,1853,1,2,,-0.6,,-3.9,,-2.3,,20.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-03,1853,1,3,,-2.8,,-11.7,,-7.3,,25.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-04,1853,1,4,,-7.2,,-17.8,,-12.5,,30.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-05,1853,1,5,,-2.2,,-7.8,,-5,,23,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-06,1853,1,6,,0,,-5.6,,-2.8,,20.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-07,1853,1,7,,3.3,,-6.1,,-1.4,,19.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-08,1853,1,8,,2.2,,-5.6,,-1.7,,19.7,,0,,7.4,,0,,7.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-09,1853,1,9,,5,,-4.4,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-10,1853,1,10,,2.8,,-3.9,,-0.6,,18.6,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-11,1853,1,11,,1.7,,-6.7,,-2.5,,20.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-12,1853,1,12,,-4.4,,-8.9,,-6.7,,24.7,,0,,0,,1,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-13,1853,1,13,,-3.3,,-6.1,,-4.7,,22.7,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-14,1853,1,14,,-1.7,,-4.4,,-3.1,,21.1,,0,,0,,1,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-15,1853,1,15,,-0.6,,-23.3,,-12,,30,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-16,1853,1,16,,-15,,-21.1,,-18.1,,36.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-17,1853,1,17,,-7.2,,-15.6,,-11.4,,29.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-18,1853,1,18,,-6.7,,-9.4,,-8.1,,26.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-19,1853,1,19,,-3.3,,-7.2,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-20,1853,1,20,,1.7,,-7.8,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-21,1853,1,21,,1.7,,-8.3,,-3.3,,21.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-22,1853,1,22,,2.8,,-7.8,,-2.5,,20.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-23,1853,1,23,,1.1,,-1.1,,0,,18,,0,,0,T,10.2,,10.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-24,1853,1,24,,0.6,,-7.2,,-3.3,,21.3,,0,,0,,5.1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-25,1853,1,25,,-2.2,,-19.4,,-10.8,,28.8,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-26,1853,1,26,,-13.3,,-18.9,,-16.1,,34.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-27,1853,1,27,,-6.7,,-13.9,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-28,1853,1,28,,-2.2,,-12.8,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-29,1853,1,29,,2.2,,-10.6,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-30,1853,1,30,,2.2,,-8.9,,-3.4,,21.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-01-31,1853,1,31,,4.4,,-2.8,,0.8,,17.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-01,1853,2,1,,0.6,,-2.2,,-0.8,,18.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-02,1853,2,2,,4.4,,-0.6,,1.9,,16.1,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-03,1853,2,3,,1.7,,-0.6,,0.6,,17.4,,0,,8.4,,0,,8.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-04,1853,2,4,,6.1,,0,,3.1,,14.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-05,1853,2,5,,1.7,,-7.8,,-3.1,,21.1,,0,,0,,15.2,,15.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-06,1853,2,6,,-5,,-16.1,,-10.6,,28.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1853-02-07,1853,2,7,,-5,,-18.3,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
