Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1885-01-01,1885,1,1,,0,,-13.9,,-7,,25,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-02,1885,1,2,,-10.6,,-17.2,,-13.9,,31.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-03,1885,1,3,,-3.9,,-16.7,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-04,1885,1,4,,0.6,,-5,,-2.2,,20.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-05,1885,1,5,,5,,-3.3,,0.9,,17.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-06,1885,1,6,,6.7,,-0.6,,3.1,,14.9,,0,,7.1,,0,,7.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-07,1885,1,7,,4.4,,0.6,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-08,1885,1,8,,2.2,,-0.6,,0.8,,17.2,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-09,1885,1,9,,4.4,,-4.4,,0,,18,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-10,1885,1,10,,-2.8,,-8.9,,-5.9,,23.9,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-11,1885,1,11,,3.9,,-3.3,,0.3,,17.7,,0,,3.8,,0,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-12,1885,1,12,,5.6,,-8.9,,-1.7,,19.7,,0,,12.4,,0,T,12.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-13,1885,1,13,,-7.8,,-12.8,,-10.3,,28.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-14,1885,1,14,,-6.1,,-11.7,,-8.9,,26.9,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-15,1885,1,15,,-4.4,,-8.3,,-6.4,,24.4,,0,,0,,11.2,,11.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-16,1885,1,16,,-6.1,,-8.3,,-7.2,,25.2,,0,,0,,15.2,,15.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-17,1885,1,17,,-6.1,,-11.7,,-8.9,,26.9,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-18,1885,1,18,,-8.9,,-15.6,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-19,1885,1,19,,-12.2,,-18.9,,-15.6,,33.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-20,1885,1,20,,-10.6,,-19.4,,-15,,33,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-21,1885,1,21,,-9.4,,-21.7,,-15.6,,33.6,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-22,1885,1,22,,-11.7,,-26.7,,-19.2,,37.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-23,1885,1,23,,-4.4,,-16.7,,-10.6,,28.6,,0,,0,,5.1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-24,1885,1,24,,-0.6,,-6.1,,-3.4,,21.4,,0,,0,,5.1,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-25,1885,1,25,,-1.1,,-7.2,,-4.2,,22.2,,0,,0,,1,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-26,1885,1,26,,-6.7,,-17.2,,-12,,30,,0,,0,,1,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-27,1885,1,27,,-15.6,,-21.1,,-18.4,,36.4,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-28,1885,1,28,,-15.6,,-21.7,,-18.7,,36.7,,0,,0,,3,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-29,1885,1,29,,-12.2,,-22.2,,-17.2,,35.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-30,1885,1,30,,-3.9,,-13.3,,-8.6,,26.6,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-01-31,1885,1,31,,-3.9,,-16.7,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-01,1885,2,1,,-5.6,,-20.6,,-13.1,,31.1,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-02,1885,2,2,,-14.4,,-26.1,,-20.3,,38.3,,0,,0,,1.8,,1.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-03,1885,2,3,,-4.4,,-15.6,,-10,,28,,0,,0,,2.8,,2.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-04,1885,2,4,,0,,-8.3,,-4.2,,22.2,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-05,1885,2,5,,-7.2,,-20.6,,-13.9,,31.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-06,1885,2,6,,-17.2,,-25.6,,-21.4,,39.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-07,1885,2,7,,-6.7,,-18.3,,-12.5,,30.5,,0,,0,,4.3,,4.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-08,1885,2,8,,-5,,-12.2,,-8.6,,26.6,,0,,0,,7.1,,7.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-09,1885,2,9,,2.2,,-12.2,,-5,,23,,0,,6.9,,5.6,,12.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-10,1885,2,10,,2.8,,-19.4,,-8.3,,26.3,,0,,0.3,,0,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-11,1885,2,11,,-17.8,,-25,,-21.4,,39.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-12,1885,2,12,,-8.9,,-21.1,,-15,,33,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-13,1885,2,13,,-12.2,,-22.8,,-17.5,,35.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-14,1885,2,14,,-5,,-18.9,,-12,,30,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-15,1885,2,15,,0,,-10,,-5,,23,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-16,1885,2,16,,0,,-20.6,,-10.3,,28.3,,0,,0,,11.4,,11.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-17,1885,2,17,,-14.4,,-23.9,,-19.2,,37.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-18,1885,2,18,,-9.4,,-23.9,,-16.7,,34.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-19,1885,2,19,,-10.6,,-17.8,,-14.2,,32.2,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-20,1885,2,20,,-10,,-20.6,,-15.3,,33.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-21,1885,2,21,,-7.2,,-16.1,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-22,1885,2,22,,-4.4,,-18.9,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-23,1885,2,23,,-6.1,,-16.7,,-11.4,,29.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-24,1885,2,24,,-4.4,,-18.3,,-11.4,,29.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-25,1885,2,25,,-2.8,,-15,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-26,1885,2,26,,-2.2,,-15,,-8.6,,26.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-27,1885,2,27,,1.1,,-6.7,,-2.8,,20.8,,0,,0,,1.8,,1.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-02-28,1885,2,28,,2.2,,-6.7,,-2.3,,20.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1885-03-01,1885,3,1,,4.4,,-5.6,,-0.6,,18.6,,0,,2.8,,0.5,,3.3,,,,,,,
