Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1919-01-01,1919,1,1,,3.3,,-6.1,,-1.4,,19.4,,0,,7.1,,0.3,,7.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-02,1919,1,2,,2.8,,-2.8,,0,,18,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-03,1919,1,3,,-2.2,,-11.7,,-7,,25,,0,,0,,4.6,,4.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-04,1919,1,4,,-5,,-14.4,,-9.7,,27.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-05,1919,1,5,,-7.2,,-15.6,,-11.4,,29.4,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-06,1919,1,6,,-2.2,,-11.7,,-7,,25,,0,,0,,3,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-07,1919,1,7,,2.8,,-3.3,,-0.3,,18.3,,0,,0.3,,0,T,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-08,1919,1,8,,2.8,,-1.7,,0.6,,17.4,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-09,1919,1,9,,-0.6,,-16.1,,-8.4,,26.4,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-10,1919,1,10,,1.1,,-17.2,,-8.1,,26.1,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-11,1919,1,11,,1.1,,-17.2,,-8.1,,26.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-12,1919,1,12,,-3.9,,-15.6,,-9.8,,27.8,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-13,1919,1,13,,6.7,,-7.2,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-14,1919,1,14,,4.4,,0.6,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-15,1919,1,15,,2.2,,-1.7,,0.3,,17.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-16,1919,1,16,,6.7,,-1.7,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-17,1919,1,17,,6.1,,1.7,,3.9,,14.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-18,1919,1,18,,6.1,,-0.6,,2.8,,15.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-19,1919,1,19,,2.8,,-2.8,,0,,18,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-20,1919,1,20,,7.2,,-5,,1.1,,16.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1919-01-21,1919,1,21,,2.8,,-2.2,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
