Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1880-01-01,1880,1,1,,2.2,,-3.3,,-0.6,,18.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-02,1880,1,2,,5,,-3.3,,0.9,,17.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-03,1880,1,3,,2.2,,-6.7,,-2.3,,20.3,,0,,7.1,,0,,7.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-04,1880,1,4,,6.1,,0.6,,3.4,,14.6,,0,,9.7,,0,,9.7,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-05,1880,1,5,,2.2,,-3.3,,-0.6,,18.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-06,1880,1,6,,4.4,,0,,2.2,,15.8,,0,,3.8,,0,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-07,1880,1,7,,2.8,,-1.1,,0.9,,17.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-08,1880,1,8,,3.3,,1.1,,2.2,,15.8,,0,,0.3,,0,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-09,1880,1,9,,8.9,,1.7,,5.3,,12.7,,0,,2.3,,0,,2.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-10,1880,1,10,,5,,-1.7,,1.7,,16.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-11,1880,1,11,,12.2,,0,,6.1,,11.9,,0,,3.6,,0.5,,4.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-12,1880,1,12,,2.2,,-5.6,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-13,1880,1,13,,0.6,,-7.8,,-3.6,,21.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-14,1880,1,14,,3.3,,0.6,,2,,16,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-15,1880,1,15,,1.7,,-3.9,,-1.1,,19.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-16,1880,1,16,,5,,-2.2,,1.4,,16.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-17,1880,1,17,,6.7,,1.7,,4.2,,13.8,,0,,3,,0,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-18,1880,1,18,,4.4,,1.1,,2.8,,15.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-19,1880,1,19,,5,,0.6,,2.8,,15.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-20,1880,1,20,,2.8,,-7.8,,-2.5,,20.5,,0,,0,,6.6,,6.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-21,1880,1,21,,-0.6,,-10,,-5.3,,23.3,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-22,1880,1,22,,3.3,,-1.7,,0.8,,17.2,,0,,5.3,,1,,6.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-23,1880,1,23,,2.2,,-3.3,,-0.6,,18.6,,0,,0,,0.8,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-24,1880,1,24,,-0.6,,-5.6,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-25,1880,1,25,,3.9,,-2.2,,0.9,,17.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-26,1880,1,26,,4.4,,-2.8,,0.8,,17.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-27,1880,1,27,,5.6,,0,,2.8,,15.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-28,1880,1,28,,3.3,,-4.4,,-0.6,,18.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-29,1880,1,29,,-3.9,,-11.7,,-7.8,,25.8,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-30,1880,1,30,,7.8,,-5,,1.4,,16.6,,0,,0.8,,0,,0.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-01-31,1880,1,31,,3.9,,-3.3,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-01,1880,2,1,,-1.7,,-15.6,,-8.7,,26.7,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-02,1880,2,2,,-5.6,,-15.6,,-10.6,,28.6,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-03,1880,2,3,,-7.8,,-10.6,,-9.2,,27.2,,0,,0,,13.5,,13.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-04,1880,2,4,,-2.8,,-13.3,,-8.1,,26.1,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-05,1880,2,5,,-2.2,,-9.4,,-5.8,,23.8,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-06,1880,2,6,,-3.9,,-11.1,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-07,1880,2,7,,-2.8,,-11.1,,-7,,25,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-08,1880,2,8,,2.2,,-13.3,,-5.6,,23.6,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-09,1880,2,9,,-1.7,,-16.1,,-8.9,,26.9,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-10,1880,2,10,,-1.7,,-15,,-8.4,,26.4,,0,,0,,1.3,,1.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-11,1880,2,11,,3.3,,-11.1,,-3.9,,21.9,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-12,1880,2,12,,11.1,,2.2,,6.7,,11.3,,0,,8.4,,0,,8.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-13,1880,2,13,,2.8,,-2.8,,0,,18,,0,,0,,1.8,,1.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-14,1880,2,14,,-1.1,,-5.6,,-3.4,,21.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1880-02-15,1880,2,15,,1.7,,-2.2,,-0.3,,18.3,,0,,0,,0,T,0,T,,,,,,
