Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1934-01-01,1934,1,1,,2.2,,-13.3,,-5.6,,23.6,,0,,7.4,,0,T,7.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-02,1934,1,2,,-10.6,,-17.2,,-13.9,,31.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-03,1934,1,3,,-8.9,,-12.8,,-10.9,,28.9,,0,,0,,4.1,,4.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-04,1934,1,4,,2.2,,-11.7,,-4.8,,22.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-05,1934,1,5,,5,,-4.4,,0.3,,17.7,,0,,5.1,,0,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-06,1934,1,6,,5,,2.2,,3.6,,14.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-07,1934,1,7,,2.8,,0.6,,1.7,,16.3,,0,,7.6,,2.5,,10.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-08,1934,1,8,,3.9,,0.6,,2.3,,15.7,,0,,0,T,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-09,1934,1,9,,3.3,,0.6,,2,,16,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-10,1934,1,10,,0.6,,-1.1,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-11,1934,1,11,,1.7,,-1.1,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-12,1934,1,12,,2.2,,-0.6,,0.8,,17.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-13,1934,1,13,,2.8,,0,,1.4,,16.6,,0,,0.3,,1.3,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-14,1934,1,14,,1.7,,-2.8,,-0.6,,18.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-15,1934,1,15,,1.7,,-2.2,,-0.3,,18.3,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-16,1934,1,16,,-1.1,,-6.7,,-3.9,,21.9,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-17,1934,1,17,,-10.6,,-13.3,,-12,,30,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-18,1934,1,18,,2.2,,-17.2,,-7.5,,25.5,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-19,1934,1,19,,0.6,,-4.4,,-1.9,,19.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-20,1934,1,20,,-6.7,,-10.6,,-8.7,,26.7,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-21,1934,1,21,,0.6,,-9.4,,-4.4,,22.4,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1934-01-22,1934,1,22,,5,,-3.9,,0.6,,17.4,,0,,0,T,0,,0,T,,,,,,
