Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1928-01-01,1928,1,1,,-8.3,,-12.2,,-10.3,,28.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-02,1928,1,2,,-7.2,,-14.4,,-10.8,,28.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-03,1928,1,3,,-7.8,,-11.7,,-9.8,,27.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-04,1928,1,4,,-4.4,,-11.1,,-7.8,,25.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-05,1928,1,5,,1.7,,-11.1,,-4.7,,22.7,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-06,1928,1,6,,5.6,,-1.7,,2,,16,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-07,1928,1,7,,6.7,,1.1,,3.9,,14.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-08,1928,1,8,,5.6,,2.8,,4.2,,13.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-09,1928,1,9,,3.3,,1.1,,2.2,,15.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-10,1928,1,10,,5,,1.7,,3.4,,14.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-11,1928,1,11,,5,,0.6,,2.8,,15.2,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-12,1928,1,12,,5,,0,,2.5,,15.5,,0,,0,T,0,,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-13,1928,1,13,,6.7,,3.3,,5,,13,,0,,0.3,,0,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-14,1928,1,14,,5,,-0.6,,2.2,,15.8,,0,,6.4,,0.3,,6.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-15,1928,1,15,,-5,,-10.6,,-7.8,,25.8,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-16,1928,1,16,,0.6,,-11.7,,-5.6,,23.6,,0,,1,,0.8,,1.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-17,1928,1,17,,4.4,,-3.9,,0.3,,17.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-18,1928,1,18,,3.3,,0,,1.7,,16.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-19,1928,1,19,,6.7,,1.1,,3.9,,14.1,,0,,10.4,,0,T,10.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-20,1928,1,20,,-5.6,,-12.2,,-8.9,,26.9,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-21,1928,1,21,,-8.3,,-15,,-11.7,,29.7,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-22,1928,1,22,,2.2,,-10.6,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-23,1928,1,23,,2.2,,-2.8,,-0.3,,18.3,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-24,1928,1,24,,3.3,,-4.4,,-0.6,,18.6,,0,,11.9,,1.3,,13.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-25,1928,1,25,,-2.8,,-7.8,,-5.3,,23.3,,0,,4.8,,3,,7.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-26,1928,1,26,,-7.8,,-11.1,,-9.5,,27.5,,0,,0,,4.8,,4.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-27,1928,1,27,,-6.1,,-12.8,,-9.5,,27.5,,0,,0,,10.2,,10.2,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-28,1928,1,28,,-8.3,,-15,,-11.7,,29.7,,0,,0,,2.5,,2.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-29,1928,1,29,,-7.2,,-17.2,,-12.2,,30.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-30,1928,1,30,,-7.2,,-16.7,,-12,,30,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-01-31,1928,1,31,,-4.4,,-11.7,,-8.1,,26.1,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-01,1928,2,1,,0,,-9.4,,-4.7,,22.7,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-02,1928,2,2,,-3.9,,-12.2,,-8.1,,26.1,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-03,1928,2,3,,2.2,,-12.2,,-5,,23,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-04,1928,2,4,,5,,-0.6,,2.2,,15.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-05,1928,2,5,,-7.2,,-13.3,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-06,1928,2,6,,-3.9,,-12.8,,-8.4,,26.4,,0,,0,,0.5,,0.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-07,1928,2,7,,2.8,,-8.3,,-2.8,,20.8,,0,,3,,0,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-08,1928,2,8,,6.1,,0.6,,3.4,,14.6,,0,,6.4,,0,,6.4,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-09,1928,2,9,,0,,-3.3,,-1.7,,19.7,,0,,2.5,,1,,3.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1928-02-10,1928,2,10,,1.1,,-7.8,,-3.4,,21.4,,0,,0,,0,,0,,,,,,,
