Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO,6158350,1850-01-01,1850,1,1,,-0.6,,-10.6,,-5.6,,23.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-02,1850,1,2,,-3.3,,-7.2,,-5.3,,23.3,,0,,0,,1.5,,1.5,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-03,1850,1,3,,0,,-6.7,,-3.4,,21.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-04,1850,1,4,,-3.3,,-8.3,,-5.8,,23.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-05,1850,1,5,,-3.3,,-7.2,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-06,1850,1,6,,-1.1,,-7.8,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-07,1850,1,7,,2.2,,-3.3,,-0.6,,18.6,,0,,0,,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-08,1850,1,8,,1.7,,-3.9,,-1.1,,19.1,,0,,0,T,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-09,1850,1,9,,3.3,,-5.6,,-1.2,,19.2,,0,,0,T,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-10,1850,1,10,,2.2,,-5.6,,-1.7,,19.7,,0,,9.1,,0,,9.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-11,1850,1,11,,3.9,,1.7,,2.8,,15.2,,0,,6.9,,0,,6.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-12,1850,1,12,,3.3,,-5,,-0.9,,18.9,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-13,1850,1,13,,-5,,-12.2,,-8.6,,26.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-14,1850,1,14,,-3.9,,-10,,-7,,25,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-15,1850,1,15,,1.1,,-1.7,,-0.3,,18.3,,0,,0,,3.8,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-16,1850,1,16,,3.3,,-0.6,,1.4,,16.6,,0,,3,,0,,3,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-17,1850,1,17,,3.3,,-0.6,,1.4,,16.6,,0,,0,T,0,T,0,T,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-18,1850,1,18,,1.1,,-6.7,,-2.8,,20.8,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-19,1850,1,19,,1.7,,-5.6,,-2,,20,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-20,1850,1,20,,1.1,,-4.4,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-21,1850,1,21,,3.3,,-6.7,,-1.7,,19.7,,0,,8.9,,0,,8.9,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-22,1850,1,22,,1.1,,-4.4,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-23,1850,1,23,,1.1,,-4.4,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-24,1850,1,24,,5.6,,1.7,,3.7,,14.3,,0,,4.1,,0,,4.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-25,1850,1,25,,7.8,,-4.4,,1.7,,16.3,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-26,1850,1,26,,6.1,,-2.2,,2,,16,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-27,1850,1,27,,4.4,,-0.6,,1.9,,16.1,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-28,1850,1,28,,1.7,,-7.2,,-2.8,,20.8,,0,,0,,7.6,,7.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-29,1850,1,29,,-2.2,,-5,,-3.6,,21.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-30,1850,1,30,,0,,-8.3,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-01-31,1850,1,31,,5,,-6.1,,-0.6,,18.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-01,1850,2,1,,-2.2,,-5,,-3.6,,21.6,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-02,1850,2,2,,3.9,,-11.1,,-3.6,,21.6,,0,,0,,6.6,,6.6,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-03,1850,2,3,,-11.7,,-15,,-13.4,,31.4,,0,,0,,0,,0,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-04,1850,2,4,,-9.4,,-16.7,,-13.1,,31.1,,0,,0,,1,,1,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-05,1850,2,5,,-7.2,,-16.1,,-11.7,,29.7,,0,,0,,0.3,,0.3,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-06,1850,2,6,,-3.3,,-10.6,,-7,,25,,0,,0,,3.8,,3.8,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-07,1850,2,7,,2.8,,-3.9,,-0.6,,18.6,,0,,5.1,,0,,5.1,,,,,,,
-79.4,43.67,TORONTO,6158350,1850-02-08,1850,2,8,,2.2,,1.1,,1.7,,16.3,,0,,3,,0,,3,,,,,,,
